"Supplier","Product Type","Item Type","Colour Name","Colour Code","Colour Group","Status","Buy More","Spools Qty","Refills Qty","Owned Qty","Grams (Open Spool)","Product URL","Image URL"
"Bambu Lab","PLA Basic","filament","Jade White","10100","1 - Basics (Black/White/Grey)","Owned","0","0","2","0","250","","https://store.bblcdn.com/s7/default/f00291f9a7464d948b9f28fad351932c/White.jpg"
"Bambu Lab","PLA Basic","filament","Black","10101","1 - Basics (Black/White/Grey)","Owned","0","2","0","0","100","","https://store.bblcdn.com/s7/default/d9f087ffd3ae4283893f8a07d6b7e42a/PLA-Basic_Black_e33768fd-c87a-4b2d-a3f7-0b3afc81f13f.png"
"Bambu Lab","PLA Basic","filament","Gray","10103","1 - Basics (Black/White/Grey)","Owned","0","2","0","0","0","","https://store.bblcdn.com/s7/default/87769b450c3741df8c6ea30506aca96f/PLA-Basic_Gray.png"
"Bambu Lab","PLA Matte","filament","Matte Ivory White","11100","1 - Basics (Black/White/Grey)","Owned","0","0","1","0","0","","https://store.bblcdn.com/s7/default/5e5b56df86354802990d37fc23547a01/PLA-Matte_Ivory-White.png"
"Bambu Lab","PLA Matte","filament","Matte Charcoal","11101","1 - Basics (Black/White/Grey)","Owned","0","0","1","0","0","","https://store.bblcdn.com/s7/default/3b7c97df9bab4d498df93a569dfb51e7/PLA-Matte_Charcoal.png"
"Bambu Lab","PLA Sparkle","filament","Onyx Black Sparkle","13101","1 - Basics (Black/White/Grey)","Owned","0","0","0","0","900","","https://store.bblcdn.com/s7/default/f97e08749626411f89ac590ecd696b74/PLA-Sparkle_Onyx-Black-Sparkle.png"
"Bambu Lab","PLA Silk+","filament","Titan Gray","13108","1 - Basics (Black/White/Grey)","Owned","0","0","0","0","800","","https://store.bblcdn.com/s7/default/7a8f7b8c0848412d90ea0f4594b897e1/PLA_Silk_13.jpg"
"Bambu Lab","PLA Silk+","filament","Silver","13109","1 - Basics (Black/White/Grey)","Owned","0","0","0","0","950","","https://store.bblcdn.com/s7/default/0e3f181bc25342ca9c3a96fe019bb796/PLA_Silk_11.jpg"
"Bambu Lab","PLA Silk+","filament","White","13110","1 - Basics (Black/White/Grey)","Owned","0","1","0","0","0","","https://store.bblcdn.com/s7/default/c3d94745f6ea493d9c786497701a09b2/PLA_Silk_6.jpg"
"Bambu Lab","PETG HF","filament","White","33100","1 - Basics (Black/White/Grey)","Owned","0","1","0","0","0","","https://store.bblcdn.com/s7/default/7c949a22d4fb484da7aefd5d2abed7b0/PETGHF_7.jpg"
"Bambu Lab","PETG HF","filament","Black","33102","1 - Basics (Black/White/Grey)","Owned","0","1","0","0","0","","https://store.bblcdn.com/s7/default/834a8ad1816747b290e1d6c0ea018942/PETGHF_6.jpg"
"Bambu Lab","ABS","filament","ABS Silver","40102","1 - Basics (Black/White/Grey)","Owned","0","1","0","0","0","","https://store.bblcdn.com/s7/default/69834a7536c540e489913a0f8e707e5e/ABSsilver.png"
"Bambu Lab","TPU 85A / TPU 90A","filament","TPU 90A","51103","1 - Basics (Black/White/Grey)","Owned","0","1","0","0","0","","https://store.bblcdn.com/s7/default/49e65cb79b5547cfa02b8807aa681f61/TPU_90_BK.png"
"Bambu Lab","Support for PLA (New Version)","filament","White","65104","1 - Basics (Black/White/Grey)","Owned","0","3","0","0","0","","https://store.bblcdn.com/s7/default/167e1bf4b92f41499e2333afcd79fc90/Support_3.png"
"Bambu Lab","PLA Basic","filament","Pumpkin Orange","10301","3 - Orange","Owned","0","1","0","0","0","","https://store.bblcdn.com/s7/default/d5ba9b091d33481fa397bab61034f031/PumpkinOrange.jpg"
"Bambu Lab","PLA Silk+","filament","Gold","13405","4 - Yellow / Gold","Owned","0","0","0","0","600","","https://store.bblcdn.com/s7/default/8ffced148867425fb0d6d3fb59de0f37/PLA_Silk_8_d3d9592f-96fd-4456-8a9c-fbe9996b41ce.jpg"
"Bambu Lab","PVA","filament","Clear","66400","4 - Yellow / Gold","Owned","0","1","0","0","0","","https://store.bblcdn.com/s7/default/6927756edcd74795b7707f9d1e6b293c/pvasupport12.jpg"
"Bambu Lab","PLA Basic","filament","Bambu Green","10501","5 - Green","Owned","0","1","0","0","850","","https://store.bblcdn.com/s7/default/dd18e1115a7e444396617a3a884aa091/Bambu_Green.jpg"
"Bambu Lab","PLA Galaxy","filament","Nebulae","13504","5 - Green","Owned","0","1","0","0","0","","https://store.bblcdn.com/s7/default/6ad5ef324c17401cad3fb35572b14919/Nublae.jpg"
"Bambu Lab","PLA Glow","filament","Glow Green","15500","5 - Green","Owned","0","0","0","0","800","","https://store.bblcdn.com/s7/default/3ae3b1c1bd254058bf08b79f3ee815b3/PLA_Glow.jpg"
"Bambu Lab","PLA Basic","filament","Blue","10601","6 - Blue","Owned","0","1","0","0","0","","https://store.bblcdn.com/s7/default/d9f20007e8074789926e6d09db4a98fa/PLABasicBlue.jpg"
"Bambu Lab","PLA Basic","filament","Cyan","10603","6 - Blue","Owned","0","0","0","0","950","","https://store.bblcdn.com/s7/default/beb1e91ec6f44fa7a12e0793337d7c52/CMYK-Cyan-1.png"
"Bambu Lab","PLA Matte","filament","Matte Marine Blue","11600","6 - Blue","Owned","0","0","1","0","0","","https://store.bblcdn.com/s7/default/51f640a9628b4dd2a675f4d9e16a0aab/Matte-Marine-Blue.png"
"Bambu Lab","PLA Silk+","filament","Blue","13604","6 - Blue","Owned","0","0","0","0","350","","https://store.bblcdn.com/s7/default/5f3e5ce01de7453a9ceb39837a2574b1/PLA_Silk_4.jpg"
"Bambu Lab","PLA Translucent","filament","Blue","13611","6 - Blue","Owned","0","1","0","0","0","","https://store.bblcdn.com/s7/default/38803a9888d047619ec6fec250f8fa99/blue.jpg"
"Bambu Lab","PLA Glow","filament","Glow Blue","15600","6 - Blue","Owned","0","1","0","0","0","","https://store.bblcdn.com/s7/default/62abf450b2a743a88c4108f520d44a23/697ef5c2066bf49f4df46a227b1a93c1_f2cca2e1-43ba-4d4d-b20c-832cfa099659.png"
"Bambu Lab","PLA Basic","filament","Indigo Purple","10701","7 - Purple","Owned","0","1","0","0","0","","https://store.bblcdn.com/s7/default/db7a279375f049dfab2036d8bd8fcac7/IndigoPurple.jpg"
